idiom,number of hits,number of hits per million tokens,log number of hits,,log number of hits per million tokens,
stand up and be counted,4804,0.08,3.68160299873087,,0.566036955065262,
bury the hatchet,4826,0.08,3.68358731757277,,0.566270969043778,
fight fire with fire,4914,0.08,3.69143515214406,,0.567195243525552,
goose egg,4929,0.08,3.69275881815472,,0.567350943891166,here
cut from the same cloth,4979,0.08,3.69714212627546,,0.567866146129161,
when the chips are down,5006,0.08,3.6994908452722,,0.568141956957693,
let the cat out of the bag,5029,0.08,3.70148163562093,,0.568375599032747,
save someone's skin,5105,0.08,3.70799574642293,,0.569139227277716,
shut the door on,5214,0.08,3.71717102683231,,0.570212543420393,
circle the wagons,5248,0.09,3.7199938263676,,0.570542219135471,
throw down the gauntlet,5350,0.09,3.72835378202123,,0.571517115669525,
in the fast lane,5364,0.09,3.72948876917956,,0.571649303674384,
turn the screw,5383,0.09,3.73102437981569,,0.571828086881845,
fly a kite,5416,0.09,3.73367865567709,,0.572136937053956,
on the bounce,5435,0.09,3.73519954842231,,0.572313808417473,
move the goalposts,5454,0.09,3.73671513360561,,0.572489990913927,
smell a rat,5517,0.09,3.74170298395774,,0.573069310275761,
turn over a new leaf,5532,0.09,3.74288217143727,,0.573206155433935,
draw a line in the sand,5576,0.09,3.74632276508995,,0.57360519136782,
cut the mustard,5594,0.09,3.74772246203551,,0.573767421684941,
reach for the stars,5597,0.09,3.74795530690673,,0.573794403432519,
below the belt,5656,0.09,3.75250940078884,,0.574321788911472,
up to here,5739,0.09,3.75883622474696,,0.575053403596715,
put the cart before the horse,5743,0.09,3.75913881628117,,0.575088363498266,
shoot the messenger,5786,0.09,3.76237842931196,,0.575462475822639,
on thin ice,5831,0.09,3.76574304142104,,0.575850682249886,
graveyard shift,5906,0.1,3.77129344262906,,0.576490325976658,
break the back of,5963,0.1,3.77546480934574,,0.576970426616178,
carrot and stick,6000,0.1,3.77815125038364,,0.577279340005126,
run a mile,6002,0.1,3.77829599108883,,0.577295977477094,
on the trot,6021,0.1,3.77966862720715,,0.577453725846796,
brass ring,6167,0.1,3.7900739484263,,0.578647683604005,
kick the bucket,6214,0.1,3.79337124891896,,0.579025348230599,
double cross,6274,0.1,3.79754451436173,,0.579502873312535,
hot and heavy,6301,0.1,3.79940947961513,,0.579716101965862,
blood and guts,6313,0.1,3.80023578932735,,0.579810543676515,
know the score,6618,0.11,3.82072676282383,,0.582145980467549,
monkey business,6648,0.11,3.82269101077605,,0.582369195288664,
steal someone's thunder,6709,0.11,3.82665779187587,,0.582819626127012,
in the pink,6710,0.11,3.82672252016899,,0.582826972198781,
in the driving seat,6869,0.11,3.83689351637643,,0.583979746581211,
blind alley,7068,0.11,3.84929654083473,,0.585381369418146,
sink or swim,7081,0.11,3.8500945943867,,0.585471399980054,
under a cloud,7227,0.12,3.85895805471801,,0.586470057995207,
put down roots,7245,0.12,3.86003838980719,,0.586591623945982,
sign on the dotted line,7384,0.12,3.86829168801786,,0.58751921456308,
in the soup,7428,0.12,3.87087189506774,,0.587808798757398,
on the wagon,7518,0.12,3.87610232137779,,0.588395233039001,
flash in the pan,7571,0.12,3.87915324618425,,0.588736936768802,
cut both ways,7602,0.12,3.88092786526708,,0.588935570591702,
face the music,7688,0.12,3.88581337466049,,0.589481938749245,
kiss of death,7719,0.13,3.88756104093001,,0.589677221206842,
grandfather clock,7839,0.13,3.89426066444699,,0.590425017893347,
poison pill,7995,0.13,3.90281846808225,,0.591378351398173,
put words in someone's mouth,8016,0.13,3.90395770852317,,0.591505104318808,
get the boot,8024,0.13,3.90439092001236,,0.591553294113705,
crocodile tear,8101,0.13,3.90853863217196,,0.592014408900579,
blaze a trail,8241,0.13,3.91597991414022,,0.592840455551826,
on the horn,8267,0.13,3.91734793762777,,0.592992147162094,
on the make,8294,0.13,3.918764031028,,0.593149113157152,
sit on the fence,8369,0.14,3.92267356785855,,0.593582169058339,
come with the territory,8384,0.14,3.92345126963965,,0.593668262920009,
call a spade a spade,8385,0.14,3.9235030669421,,0.59367399642671,
kangaroo court,8521,0.14,3.93049056530627,,0.594446758138678,
pop the question,8534,0.14,3.93115263852329,,0.594519906903636,
full speed ahead,8612,0.14,3.93510402115145,,0.594956217054671,
high and mighty,8650,0.14,3.93701610746481,,0.595167191617452,
touch and go,8821,0.14,3.94551782207784,,0.596104009449853,
keep a lid on,8863,0.14,3.94758074930432,,0.596331022434254,
add fuel to the fire,8986,0.15,3.95356641425701,,0.596989038720487,
dead and buried,9000,0.15,3.95424250943932,,0.597063300607812,
between a rock and a hard place,9012,0.15,3.95482118305179,,0.597126851684636,
eat someone alive,9140,0.15,3.96094619573383,,0.597798943122646,
take the fall,9176,0.15,3.96265340489321,,0.597986088250168,
step on it,9228,0.15,3.96510758584906,,0.598254975589735,
